dokument,phase,run_id,run_ts,invoice_idx,quality,commodity,prompt_language,prompt_strategy,model,model_label,prompt_tokens,completion_tokens,total_tokens,latency_ms,tp,fp,fn,precision,recall,f1,null_rate,gt_present,cost_usd,cost_czk,api_error
f1f9db76a9,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,7,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1-2025-04-14,GPT-4.1 Apr-25,7835,105,7940,1285.6323719024658,10,0,1,1.0,0.9090909090909092,0.9523809523809524,0.0909090909090909,11,0.01651,0.387985,
3b37639a4c,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,8,Q2,elektrina_nn,cs_en,few_shot,gpt-4.1-nano,GPT-4.1 nano,8810,110,8920,1372.053623199463,3,5,3,0.375,0.5,0.4285714285714285,0.2727272727272727,11,0.000925,0.0217375,
3b37639a4c,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,8,Q2,elektrina_nn,cs_en,few_shot,gpt-4o-mini,GPT-4o mini,8810,109,8919,2159.6574783325195,3,8,0,0.2727272727272727,1.0,0.4285714285714285,0.0,11,0.0013869,0.03259215,
3b37639a4c,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,8,Q2,elektrina_nn,cs_en,few_shot,gpt-4.1-mini,GPT-4.1 mini,8810,94,8904,1541.140079498291,3,5,3,0.375,0.5,0.4285714285714285,0.2727272727272727,11,0.0036744,0.0863484,
3b37639a4c,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,8,Q2,elektrina_nn,cs_en,few_shot,gpt-4o,GPT-4o,8810,99,8909,1237.3595237731934,3,6,2,0.3333333333333333,0.6,0.4285714285714285,0.1818181818181818,11,0.023015,0.5408525000000001,
3b37639a4c,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,8,Q2,elektrina_nn,cs_en,few_shot,gpt-4o-2024-11-20,GPT-4o Nov-24,8810,109,8919,1139.4128799438477,4,7,0,0.3636363636363636,1.0,0.5333333333333333,0.0,11,0.023115,0.5432025,
3b37639a4c,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,8,Q2,elektrina_nn,cs_en,few_shot,gpt-4.1,GPT-4.1,8810,92,8902,2439.898729324341,3,5,3,0.375,0.5,0.4285714285714285,0.2727272727272727,11,0.018356,0.431366,
3b37639a4c,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,8,Q2,elektrina_nn,cs_en,few_shot,gpt-4.1-2025-04-14,GPT-4.1 Apr-25,8810,92,8902,1474.893569946289,3,5,3,0.375,0.5,0.4285714285714285,0.2727272727272727,11,0.018356,0.431366,
fcb6b6ccc4,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,9,Q2,elektrina_nn,cs_en,few_shot,gpt-4.1-nano,GPT-4.1 nano,7792,129,7921,1619.243860244751,3,8,0,0.2727272727272727,1.0,0.4285714285714285,0.0,11,0.0008308,0.0195238,
fcb6b6ccc4,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,9,Q2,elektrina_nn,cs_en,few_shot,gpt-4o-mini,GPT-4o mini,7792,109,7901,2288.325786590576,6,5,0,0.5454545454545454,1.0,0.7058823529411764,0.0,11,0.0012342,0.0290037,
