strategie,kvalita,komodita,f1,precision,recall,null_rate,prompt_tokens,completion_tokens,latency_ms,cost_usd,cost_czk,pole_celkem,pole_spravne
zero_shot_rules,Q2,elektrina_nn,0.42857142857142855,0.6,0.3333333333333333,0.5454545454545454,6454,88,826.8582820892334,0.0006806000000000002,0.015994100000000004,0,0
few_shot,Q2,elektrina_nn,0.5333333333333333,0.36363636363636365,1.0,0.0,8206,133,1402.9514789581299,0.0008738000000000001,0.020534300000000002,0,0
chain_of_thought,Q2,elektrina_nn,0.42857142857142855,0.6,0.3333333333333333,0.5454545454545454,6503,88,1931.6065311431885,0.0006855000000000001,0.016109250000000002,0,0
zero_shot,Q2,elektrina_nn,0.8421052631578948,0.7272727272727273,1.0,0.0,5028,104,1101.2227535247803,0.0005444,0.0127934,0,0
zero_shot_rules,Q2,elektrina_nn,0.8421052631578948,0.7272727272727273,1.0,0.0,5811,107,961.2503051757812,0.0006238999999999999,0.014661649999999998,0,0
few_shot,Q2,elektrina_nn,0.625,0.45454545454545453,1.0,0.0,7563,130,1096.7636108398438,0.0008083000000000001,0.018995050000000003,0,0
chain_of_thought,Q2,elektrina_nn,0.6250000000000001,0.5555555555555556,0.7142857142857143,0.18181818181818182,5860,103,1043.743371963501,0.0006272000000000001,0.014739200000000001,0,0
zero_shot,Q3,elektrina_nn,0.16666666666666666,0.1111111111111111,0.3333333333333333,0.18181818181818182,3714,104,998.7585544586182,0.00041300000000000006,0.009705500000000002,0,0
zero_shot_rules,Q3,elektrina_nn,0.16666666666666669,1.0,0.09090909090909091,0.9090909090909091,4497,73,764.244556427002,0.00047890000000000004,0.011254150000000001,0,0
few_shot,Q3,elektrina_nn,0.625,0.45454545454545453,1.0,0.0,6249,131,982.7690124511719,0.0006773,0.01591655,0,0
chain_of_thought,Q3,elektrina_nn,0.0,0.0,0.0,1.0,4546,68,1499.9427795410156,0.0004818,0.0113223,0,0
zero_shot,q3,elektrina_nn,0.5333333333333333,0.36363636363636365,1.0,0.0,3178,111,1204.4312953948975,0.0003622,0.0085117,0,0
zero_shot_rules,q3,elektrina_nn,0.0,0.0,0.0,1.0,3961,68,801.6996383666992,0.0004233,0.00994755,0,0
few_shot,q3,elektrina_nn,0.7058823529411764,0.5454545454545454,1.0,0.0,5713,131,1018.1894302368164,0.0006237,0.01465695,0,0
chain_of_thought,q3,elektrina_nn,0.0,0.0,0.0,1.0,4010,68,662.6653671264648,0.0004282,0.0100627,0,0
zero_shot,Q2,elektrina_vn,0.8571428571428571,0.75,1.0,0.0,5069,211,1338.2043838500977,0.0005913000000000001,0.013895550000000003,0,0
zero_shot_rules,Q2,elektrina_vn,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.25,6491,201,1367.8984642028809,0.0007295,0.01714325,0,0
few_shot,Q2,elektrina_vn,0.5454545454545454,0.42857142857142855,0.75,0.125,7842,238,1664.6521091461182,0.0008794000000000001,0.020665900000000004,0,0
chain_of_thought,Q2,elektrina_vn,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.25,6540,199,1480.0779819488525,0.0007336,0.0172396,0,0
zero_shot,Q3,elektrina_vn,0.24,0.6,0.15,0.7727272727272727,6865,204,1420.7513332366943,0.0007681000000000001,0.018050350000000003,0,0
zero_shot_rules,Q3,elektrina_vn,0.16666666666666666,0.4,0.10526315789473684,0.7727272727272727,8287,205,1397.252082824707,0.0009107000000000001,0.021401450000000002,0,0
few_shot,Q3,elektrina_vn,0.5806451612903226,0.4090909090909091,1.0,0.0,9638,294,1709.144115447998,0.0010814000000000002,0.025412900000000002,0,0
chain_of_thought,Q3,elektrina_vn,0.0,0.0,0.0,1.0,8336,169,1202.8520107269287,0.0009012,0.0211782,0,0
zero_shot,Q2,elektrina_vn,0.3076923076923077,0.8,0.19047619047619047,0.7727272727272727,6866,202,2883.218765258789,0.0007674000000000001,0.018033900000000002,0,0
zero_shot_rules,Q2,elektrina_vn,0.5333333333333333,0.7272727272727273,0.42105263157894735,0.5,8288,256,1852.8380393981934,0.0009312000000000001,0.021883200000000002,0,0
few_shot,Q2,elektrina_vn,0.625,0.45454545454545453,1.0,0.0,9639,280,2329.5347690582275,0.0010759,0.02528365,0,0
chain_of_thought,Q2,elektrina_vn,0.0,0.0,0.0,0.9545454545454546,8337,172,1975.6088256835938,0.0009025,0.02120875,0,0
