model,condition,field,tp,fp,fn,precision,recall,f1,n_gt
gpt-4o-mini,grayscale_denoise_cs_cot,period_to,44.0,13.0,3.0,0.7719298245614035,0.9361702127659575,0.8461538461538461,60.0
gpt-4o-mini,grayscale_denoise_cs_cot,supplier,15.0,45.0,0.0,0.25,1.0,0.4,60.0
gpt-4o-mini,grayscale_denoise_cs_standard,amount_ex_vat,6.0,52.0,2.0,0.10344827586206896,0.75,0.18181818181818182,60.0
gpt-4o-mini,grayscale_denoise_cs_standard,amount_inc_vat,10.0,41.0,9.0,0.19607843137254902,0.5263157894736842,0.2857142857142857,60.0
gpt-4o-mini,grayscale_denoise_cs_standard,due_date,41.0,16.0,2.0,0.7192982456140351,0.9534883720930233,0.8200000000000001,59.0
gpt-4o-mini,grayscale_denoise_cs_standard,invoice_number,19.0,39.0,2.0,0.3275862068965517,0.9047619047619048,0.48101265822784806,60.0
gpt-4o-mini,grayscale_denoise_cs_standard,issue_date,42.0,16.0,2.0,0.7241379310344828,0.9545454545454546,0.823529411764706,60.0
gpt-4o-mini,grayscale_denoise_cs_standard,period_from,28.0,30.0,2.0,0.4827586206896552,0.9333333333333333,0.6363636363636364,60.0
gpt-4o-mini,grayscale_denoise_cs_standard,period_to,38.0,20.0,2.0,0.6551724137931034,0.95,0.7755102040816326,60.0
gpt-4o-mini,grayscale_denoise_cs_standard,supplier,23.0,37.0,0.0,0.38333333333333336,1.0,0.5542168674698795,60.0
gpt-4o-mini,grayscale_denoise_en_cot,amount_ex_vat,8.0,50.0,2.0,0.13793103448275862,0.8,0.2352941176470588,60.0
gpt-4o-mini,grayscale_denoise_en_cot,amount_inc_vat,11.0,46.0,3.0,0.19298245614035087,0.7857142857142857,0.30985915492957744,60.0
gpt-4o-mini,grayscale_denoise_en_cot,due_date,40.0,17.0,2.0,0.7017543859649122,0.9523809523809523,0.8080808080808081,59.0
gpt-4o-mini,grayscale_denoise_en_cot,invoice_number,18.0,39.0,3.0,0.3157894736842105,0.8571428571428571,0.46153846153846156,60.0
gpt-4o-mini,grayscale_denoise_en_cot,issue_date,43.0,14.0,3.0,0.7543859649122807,0.9347826086956522,0.8349514563106796,60.0
gpt-4o-mini,grayscale_denoise_en_cot,period_from,30.0,28.0,2.0,0.5172413793103449,0.9375,0.6666666666666667,60.0
gpt-4o-mini,grayscale_denoise_en_cot,period_to,40.0,18.0,2.0,0.6896551724137931,0.9523809523809523,0.7999999999999999,60.0
gpt-4o-mini,grayscale_denoise_en_cot,supplier,13.0,47.0,0.0,0.21666666666666667,1.0,0.3561643835616438,60.0
gpt-4o-mini,grayscale_denoise_en_standard,amount_ex_vat,6.0,52.0,2.0,0.10344827586206896,0.75,0.18181818181818182,60.0
gpt-4o-mini,grayscale_denoise_en_standard,amount_inc_vat,9.0,44.0,7.0,0.16981132075471697,0.5625,0.2608695652173913,60.0
gpt-4o-mini,grayscale_denoise_en_standard,due_date,38.0,19.0,2.0,0.6666666666666666,0.95,0.7835051546391752,59.0
gpt-4o-mini,grayscale_denoise_en_standard,invoice_number,19.0,39.0,2.0,0.3275862068965517,0.9047619047619048,0.48101265822784806,60.0
gpt-4o-mini,grayscale_denoise_en_standard,issue_date,42.0,16.0,2.0,0.7241379310344828,0.9545454545454546,0.823529411764706,60.0
gpt-4o-mini,grayscale_denoise_en_standard,period_from,28.0,30.0,2.0,0.4827586206896552,0.9333333333333333,0.6363636363636364,60.0
gpt-4o-mini,grayscale_denoise_en_standard,period_to,39.0,19.0,2.0,0.6724137931034483,0.9512195121951219,0.7878787878787878,60.0
gpt-4o-mini,grayscale_denoise_en_standard,supplier,23.0,37.0,0.0,0.38333333333333336,1.0,0.5542168674698795,60.0
gpt-4o-mini,raw_cs_cot,amount_ex_vat,19.0,39.0,2.0,0.3275862068965517,0.9047619047619048,0.48101265822784806,60.0
gpt-4o-mini,raw_cs_cot,amount_inc_vat,14.0,44.0,2.0,0.2413793103448276,0.875,0.3783783783783784,60.0
gpt-4o-mini,raw_cs_cot,due_date,42.0,15.0,2.0,0.7368421052631579,0.9545454545454546,0.8316831683168316,59.0
gpt-4o-mini,raw_cs_cot,invoice_number,16.0,39.0,5.0,0.2909090909090909,0.7619047619047619,0.4210526315789473,60.0
gpt-4o-mini,raw_cs_cot,issue_date,43.0,15.0,2.0,0.7413793103448276,0.9555555555555556,0.8349514563106797,60.0
gpt-4o-mini,raw_cs_cot,period_from,30.0,25.0,5.0,0.5454545454545454,0.8571428571428571,0.6666666666666665,60.0
gpt-4o-mini,raw_cs_cot,period_to,42.0,13.0,5.0,0.7636363636363637,0.8936170212765957,0.8235294117647058,60.0
gpt-4o-mini,raw_cs_cot,supplier,12.0,48.0,0.0,0.2,1.0,0.33333333333333337,60.0
gpt-4o-mini,raw_cs_standard,amount_ex_vat,8.0,50.0,2.0,0.13793103448275862,0.8,0.2352941176470588,60.0
gpt-4o-mini,raw_cs_standard,amount_inc_vat,12.0,43.0,5.0,0.21818181818181817,0.7058823529411765,0.33333333333333337,60.0
gpt-4o-mini,raw_cs_standard,due_date,39.0,18.0,2.0,0.6842105263157895,0.9512195121951219,0.7959183673469389,59.0
gpt-4o-mini,raw_cs_standard,invoice_number,19.0,39.0,2.0,0.3275862068965517,0.9047619047619048,0.48101265822784806,60.0
gpt-4o-mini,raw_cs_standard,issue_date,41.0,17.0,2.0,0.7068965517241379,0.9534883720930233,0.8118811881188119,60.0
gpt-4o-mini,raw_cs_standard,period_from,23.0,34.0,3.0,0.40350877192982454,0.8846153846153846,0.5542168674698795,60.0
gpt-4o-mini,raw_cs_standard,period_to,36.0,21.0,3.0,0.631578947368421,0.9230769230769231,0.7499999999999999,60.0
gpt-4o-mini,raw_cs_standard,supplier,22.0,38.0,0.0,0.36666666666666664,1.0,0.5365853658536585,60.0
gpt-4o-mini,raw_en_cot,amount_ex_vat,13.0,45.0,2.0,0.22413793103448276,0.8666666666666667,0.35616438356164387,60.0
gpt-4o-mini,raw_en_cot,amount_inc_vat,11.0,47.0,2.0,0.1896551724137931,0.8461538461538461,0.30985915492957744,60.0
gpt-4o-mini,raw_en_cot,due_date,38.0,19.0,2.0,0.6666666666666666,0.95,0.7835051546391752,59.0
gpt-4o-mini,raw_en_cot,invoice_number,17.0,40.0,3.0,0.2982456140350877,0.85,0.44155844155844154,60.0
gpt-4o-mini,raw_en_cot,issue_date,38.0,19.0,3.0,0.6666666666666666,0.926829268292683,0.7755102040816327,60.0
gpt-4o-mini,raw_en_cot,period_from,24.0,34.0,2.0,0.41379310344827586,0.9230769230769231,0.5714285714285715,60.0
gpt-4o-mini,raw_en_cot,period_to,34.0,23.0,3.0,0.5964912280701754,0.918918918918919,0.7234042553191489,60.0
gpt-4o-mini,raw_en_cot,supplier,8.0,52.0,0.0,0.13333333333333333,1.0,0.23529411764705882,60.0
gpt-4o-mini,raw_en_standard,amount_ex_vat,6.0,52.0,2.0,0.10344827586206896,0.75,0.18181818181818182,60.0
gpt-4o-mini,raw_en_standard,amount_inc_vat,9.0,46.0,5.0,0.16363636363636364,0.6428571428571429,0.2608695652173913,60.0
gpt-4o-mini,raw_en_standard,due_date,38.0,19.0,2.0,0.6666666666666666,0.95,0.7835051546391752,59.0
gpt-4o-mini,raw_en_standard,invoice_number,18.0,41.0,1.0,0.3050847457627119,0.9473684210526315,0.46153846153846156,60.0
gpt-4o-mini,raw_en_standard,issue_date,38.0,20.0,2.0,0.6551724137931034,0.95,0.7755102040816326,60.0
gpt-4o-mini,raw_en_standard,period_from,26.0,32.0,2.0,0.4482758620689655,0.9285714285714286,0.6046511627906977,60.0
gpt-4o-mini,raw_en_standard,period_to,38.0,20.0,2.0,0.6551724137931034,0.95,0.7755102040816326,60.0
gpt-4o-mini,raw_en_standard,supplier,20.0,40.0,0.0,0.3333333333333333,1.0,0.5,60.0
